,GenCo1,GenCo2,GenCo3,GenCo4,GenCo5,GenCo6,GenCo7,GenCo8,GenCo9,GenCo10,GenCo11,GenCo12,GenCo13,GenCo14,GenCo15,GenCo16,GenCo17,GenCo18,GenCo19,GenCo20,GenCo21,GenCo22,GenCo23,GenCo24,GenCo25,GenCo26,GenCo27,GenCo28,GenCo29,GenCo30,GenCo31,GenCo32,GenCo33,GenCo34,GenCo35,GenCo36,GenCo37,GenCo38,GenCo39,GenCo40,GenCo41,GenCo42,GenCo43,GenCo44,GenCo45,GenCo46,GenCo47,GenCo48,GenCo49,GenCo50,GenCo51,GenCo52,GenCo53,GenCo54,GenCo55,GenCo56,GenCo57,GenCo58,GenCo59,GenCo60,GenCo61,GenCo62,GenCo63,GenCo64,GenCo65,GenCo66,GenCo67,GenCo68,GenCo69,GenCo70,GenCo71,GenCo72,GenCo73,GenCo74,GenCo75,GenCo76,GenCo77,GenCo78,GenCo79,GenCo80,GenCo81,GenCo82
5209,520,212.5,204.75,99,1108.1951,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,226.25,653.41127,0,629.5,101.75,602,202.5,639.5,0,0,0,0,38.75,122.5,0,0,764.5,0,420,180.75,0,0,951.75,1758.3547,0,0,120,0,0,0,0,0,5.04,183.75,0,0,0,590.75,295,0,0,0,0,1332,351.1657,445,102,1115,600,0,0,0,0,0,60,201.25,178.75,420,313
5210,520,614.5,204.75,99,706.19511,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,628.25,341.25,0,227.5,407,200,202.5,237.5,0,0,0,0,38.75,245,0,0,362.5,0,420,180.75,0,0,549.75,1356.3547,0,0,120,0,0,0,0,0,0,183.75,0,0,0,755,295,0,0,0,0,1332,345,445,408,713,600,0,0,0,0,0,60,603.25,580.75,420,715
5211,520,850,606.75,99,308.5,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,905,0,0,227.5,407,0,604.5,237.5,0,0,0,0,0,245,0,0,764.5,0,420,180.75,0,0,951.75,954.35467,0,0,120,0,0,0,0,0,0,183.75,0,0,0,353,295,0,0,0,0,1332,345,445,408,379.25,600,0,0,0,0,0,60,805,715,420,313
5212,520,542.60249,819,99,710.5,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0,503,0,0,227.5,407,0,202.5,237.5,0,224.5,0,0,0,245,0,0,419.29036,0,420,582.75,0,0,549.75,552.35467,0,0,120,0,0,0,0,0,0,183.75,0,0,0,755,295,0,0,0,0,1332,747,445,408,781.25,600,0,0,0,0,0,60,805,313,420,313
5213,520,850,606.75,49.5,710.5,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,905,0,0,629.5,407,0,202.5,548,0,626.5,0,0,0,245,0,0,821.29036,0,420,180.75,0,0,951.75,443,0,0,120,0,0,0,25,0,0,183.75,0,0,0,353,295,0,0,0,0,1332,1149,445,408,379.25,600,0,0,0,0,0,60,403,715,420,0
5214,520,850,204.75,0,308.5,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,905,0,0,514.40818,407,0,202.5,950,0,898,0,0,0,245,0,0,419.29036,0,420,582.75,0,0,1353.75,0,0,0,120,0,0,0,0,0,0,585.75,0,0,0,755,697,0,0,0,0,930,1380,445,408,781.25,600,0,0,0,0,0,60,805,313,420,0
5215,520,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0,905,0,0,508,407,0,0,548,0,898,0,0,0,245,0,0,821.29036,0,420,723,0,0,993,0,0,0,120,0,0,0,0,0,0,735,0,0,0,489.54743,1013.8973,0,0,0,0,1137,1380,445,408,781.25,600,0,0,0,0,0,15,603.25,715,420,0
5216,520,212.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,628.25,0,0,910,101.75,0,0,237.5,0,898,0,0,0,245,0,0,1223.2904,0,420,723,0,0,1395,0,0,0,120,0,0,0,0,25,0,735,0,0,0,755,611.89727,0,0,0,0,735,978,111.25,408,1183.25,600,0,0,0,0,0,0,201.25,313,105,0
5217,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.25,0,0,910,0,0,0,0,0,898,0,0,0,122.5,0,0,1450,0,420,321,0,0,1797,0,0,0,120,0,0,0,0,0,5.04,354.99338,0,0,0,590.75,778,0,0,0,0,333,1380,0,408,781.25,600,0,0,0,0,0,0,403,313,0,0
5218,0,0,0,0,0,0,27.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,539.70882,0,0,0,0,0,898,0,0,0,0,0,0,1450,0,105,180.75,0,0,2199,0,0,0,120,0,0,0,0,0,0,183.75,0,0,0,188.75,1180,12.25,0,0,0,0,1380,0,102,379.25,600,0,0,0,0,0,0,805,715,0,0
5219,0,0,0,49.5,0,0,27.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,910,0,0,0,0,0,898,0,0,0,0,0,0,1450,0,0,0,0,0,1897.8872,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,1180,12.25,0,0,0,0,1380,0,0,0,300,0,0,0,0,0,0,805,715,0,0
5220,0,0,0,0,0,0,27.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,508,0,0,0,0,0,898,0,0,0,0,0,0,1323.5895,0,0,0,0,0,1495.8872,0,0,0,120,0,0,0,25,0,0,0,0,0,0,0,1180,12.25,0,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,403,715,0,313
5221,0,0,0,0,0,0,27.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,227.5,0,0,0,0,0,626.5,0,0,0,0,0,0,1450,0,0,0,0,0,1093.8872,443,0,0,120,0,0,0,0,0,0,0,0,0,0,0,778,12.25,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,403,333.461,0,715
5222,0,0,0,49.5,308.5,0,27.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,227.5,0,0,0,0,0,224.5,0,0,0,122.5,0,0,1450,0,0,0,0,0,691.88724,845,0,0,120,0,0,0,25,0,0,0,0,0,0,0,429.2329,12.25,0,0,0,0,576,0,0,0,300,0,0,0,0,0,0,805,178.75,0,1117
5223,0,0,0,0,710.5,0,27.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,629.5,0,0,202.5,0,0,224.5,0,0,0,0,0,0,1048,0,0,0,0,0,549.75,1247,0,0,120,0,0,0,25,0,0,0,0,0,0,0,778,12.25,0,0,0,0,767.80041,0,0,0,600,0,0,0,0,0,0,805,178.75,0,1252
5224,0,212.5,0,0,1112.5,0,27.65,0,0,0,0,0,0,0,0,0,0,300,0,0,0,4.38,0,0,0,0,910,0,200,604.5,237.5,0,626.5,0,0,0,0,0,0,1450,0,0,0,0,0,549.75,1649,0,0,120,0,0,0,0,0,0,0,0,0,0,0,1180,12.25,0,0,0,0,1169.8004,111.25,0,0,600,0,0,0,0,0,15,513.47584,178.75,105,1252
5225,130,614.5,0,0,1167.9682,0,27.65,0,0,0,0,0,0,0,0,0,0,702,0,0,0,4.38,0,226.25,0,0,910,101.75,602,810,639.5,0,898,0,0,38.75,0,0,0,1450,0,0,0,0,0,951.75,1772,0,0,120,0,0,0,0,0,0,0,0,0,0,0,778,12.25,0,0,0,0,1380,445,0,0,600,0,0,0,0,0,60,805,267.98692,420,850
5226,520,850,204.75,0,765.96817,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,628.25,0,0,910,407,800,604.5,950,0,626.5,0,0,155,122.5,0,0,1048,0,105,180.75,0,0,1353.75,1772,0,0,120,0,0,0,0,0,0,183.75,0,0,0,188.75,376,0,0,0,0,333,1380,445,102,0,600,0,0,0,0,0,60,805,580.75,420,1252
5227,520,850,606.75,0,1112.5,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,760.84214,0,0,508,407,800,202.5,548,17.5,224.5,0,0,155,0,0,0,646,0,420,582.75,0,0,1124.6114,1772,0,0,120,0,0,0,0,0,0,585.75,0,0,0,590.75,778,0,0,0,0,735,978,445,408,379.25,600,0,0,0,0,0,60,403,178.75,420,1252
5228,520,614.5,606.75,49.5,710.5,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0,905,341.25,0,910,407,602,202.5,639.5,17.5,626.5,0,0,155,122.5,0,0,362.5,0,420,180.75,0,0,1526.6114,1772,0,0,120,0,0,0,25,25,5.04,333,0,0,0,590.75,697,0,0,0,0,333,978,445,408,781.25,600,0,0,0,0,0,60,201.25,178.75,420,1117
5229,520,212.5,204.75,99,308.5,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,503,743.25,0,508,407,200,604.5,237.5,17.5,898,924,0,155,245,0,0,362.5,0,105,582.75,0,0,1807.5374,1772,0,0,120,0,0,0,50,50,10.07,735,0,0,0,188.75,295,0,0,0,1.25,380.35505,1380,445,408,781.25,600,0,0,0,0,0,15,201.25,178.75,105,715
5230,520,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847.42798,1145.25,0,508,407,0,202.5,0,17.5,898,924,0,155,245,0,0,362.5,0,0,723,0,0,1405.5374,1772,0,0,120,0,0,0,50,50,10.07,735,0,0,0,0,0,0,0,0,0,735,1380,111.25,408,379.25,600,0,0,0,0,0,0,0,580.75,0,313
5231,520,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,1365,0,910,407,0,0,0,17.5,496,924,0,155,245,0,0,0,0,0,723,0,0,1003.5374,1772,0,0,120,0,0,0,50,50,10.07,735,0,0,0,0,0,0,0,0,0,333,1380,0,408,0,600,0,0,0,0,0,0,0,178.75,0,0
5232,130,212.5,204.75,49.5,308.5,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,503,1365,0,508,101.75,0,0,237.5,0,224.5,0,0,38.75,122.5,0,0,362.5,0,0,723,0,0,951.75,1772,0,0,108,0,0,0,25,25,5.04,333,0,0,0,188.75,295,0,0,0,0,341.94159,978,0,102,379.25,300,0,0,0,0,0,0,201.25,580.75,0,313
5233,0,212.5,417,0,710.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.19048,1365,0,227.5,0,0,0,639.5,0,0,0,0,38.75,0,0,0,764.5,0,0,723,0,0,549.75,1649,0,0,108,0,0,0,0,0,0,585.75,0,0,0,0,295,0,0,0,0,333,576,0,408,634.19003,0,0,0,0,0,0,0,603.25,178.75,0,313
5234,0,0,819,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.19048,1365,0,227.5,0,0,0,237.5,0,0,0,0,0,0,0,0,764.5,0,0,321,0,0,591,1247,0,0,120,0,0,0,0,0,0,183.75,0,0,0,0,295,0,0,0,0,735,521.61916,0,408,379.25,300,0,0,0,0,0,0,201.25,580.75,0,448
5235,0,0,819,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.19048,963,0,629.5,0,0,0,639.5,0,0,0,0,0,0,0,0,362.5,0,0,723,0,0,993,845,0,0,120,0,0,0,0,0,0,183.75,0,0,0,0,0,0,0,0,0,333,576,0,408,379.25,0,0,0,0,0,0,0,201.25,715,0,850
5236,0,0,417,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.25,1145.25,0,718.34219,0,0,202.5,237.5,0,0,0,0,0,0,0,0,362.5,0,0,723,0,0,1395,443,0,0,120,0,0,0,0,0,0,183.75,0,0,0,0,0,0,0,0,0,0,978,0,408,781.25,0,0,0,0,0,0,0,0,313,0,1252
